epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.34029,1.30334,3.15895,0.43656,1.01304,1.55914,0.80499,0.88565,0.90712,0.71811,0.98223,0.64286,0.76281,0.35609,0.88902,3.80261,0.40535,0.51731,1.09135,0,0,0
2,1.80821,1.67124,4.09506,0.38528,1.1618,1.56302,0.80556,0.88893,0.90686,0.71259,0.98163,0.64286,0.76269,0.36028,0.88573,3.75516,0.40375,0.5145,1.09119,1.9802e-05,1.9802e-05,1.9802e-05
3,2.17145,1.6863,1.93171,0.29458,1.33132,1.81253,0.82616,0.85714,0.90673,0.70889,0.98069,0.64286,0.7573,0.35619,0.89546,3.76209,0.40707,0.51506,1.09669,3.9208e-05,3.9208e-05,3.9208e-05
4,2.50059,1.37692,3.75904,0.4832,1.07445,1.31129,0.81217,0.85714,0.90712,0.71061,0.98183,0.64286,0.76266,0.35731,0.88472,3.74416,0.40622,0.51248,1.0919,5.8218e-05,5.8218e-05,5.8218e-05
5,2.83036,1.53267,4.20499,0.38096,1.27644,1.3996,0.85257,0.92857,0.92747,0.70483,0.98224,0.64286,0.76593,0.36927,0.88439,3.73835,0.4074,0.51223,1.08969,7.6832e-05,7.6832e-05,7.6832e-05
6,3.1548,0.92126,3.79364,0.26155,0.64612,1.17432,0.85512,0.92857,0.92762,0.69985,0.98335,0.64286,0.76599,0.36933,0.8906,3.73972,0.40693,0.51144,1.09123,9.505e-05,9.505e-05,9.505e-05
7,3.72132,1.57846,3.7243,0.29665,0.90388,1.5318,0.97566,0.85714,0.93008,0.68422,0.89822,0.63143,0.61295,0.3164,0.93243,3.94361,0.4095,0.5403,1.11107,0.000112872,0.000112872,0.000112872
8,4.17584,2.05237,5.04892,0.46183,1.1964,2.86914,0.97918,0.85714,0.93029,0.68427,0.89753,0.62698,0.61285,0.31635,0.93713,3.95361,0.40954,0.54532,1.10851,0.000130298,0.000130298,0.000130298
9,4.63489,1.40515,3.57645,0.47313,1.36337,1.3782,0.94874,0.85714,0.92877,0.65591,0.77681,0.57143,0.54017,0.26475,1.02883,4.31261,0.40645,0.58834,1.15549,0.000147328,0.000147328,0.000147328
10,5.1035,1.28702,3.18783,0.2871,0.73597,1.54875,0.78382,0.71429,0.8522,0.62921,0.76698,0.5,0.56234,0.25417,1.03503,4.51569,0.38311,0.66098,1.1497,0.000163962,0.000163962,0.000163962
11,5.66971,1.38498,3.40602,0.37777,1.09291,1.47877,0.68661,0.78571,0.76333,0.58057,0.51522,0.57143,0.51079,0.22265,1.08801,4.79611,0.36303,0.79782,1.17007,0.0001802,0.0001802,0.0001802
12,6.15597,1.08532,3.72464,0.35842,0.74962,1.23409,0.62994,0.78571,0.7564,0.56604,0.73007,0.42857,0.50195,0.19634,1.12392,4.93268,0.35057,0.88003,1.17755,0.000196042,0.000196042,0.000196042
13,6.78148,0.96504,3.0586,0.38986,0.5771,1.079,0.67549,0.74454,0.76204,0.5746,0.746,0.5,0.51672,0.17424,1.18797,5.0832,0.3431,0.92048,1.21758,0.000211488,0.000211488,0.000211488
14,7.24882,1.23456,1.87106,0.3143,0.66566,1.3226,0.75263,0.64286,0.75602,0.5486,0.76329,0.5,0.50067,0.11673,1.20536,5.30641,0.34743,0.96347,1.24295,0.000226538,0.000226538,0.000226538
15,7.79551,1.26827,3.08413,0.3503,0.73875,1.35856,0.70051,0.64286,0.71133,0.52281,0.68241,0.35714,0.35917,0.08972,1.2054,5.50004,0.35797,0.95983,1.2772,0.000241192,0.000241192,0.000241192
16,8.25805,0.98425,2.00045,0.30105,0.59117,1.12338,0.81477,0.64286,0.70738,0.51772,0.32845,0.28571,0.21944,0.0583,1.17734,5.81531,0.36651,0.9561,1.28825,0.00025545,0.00025545,0.00025545
17,8.78313,1.14408,2.67345,0.45431,0.77035,1.153,0.73915,0.64286,0.72842,0.50193,0.57716,0.21429,0.20541,0.0632,1.24847,6.11375,0.37482,1.03241,1.34002,0.000269312,0.000269312,0.000269312
18,9.24285,0.94234,3.75176,0.24067,1.0393,1.33139,0.73915,0.64286,0.72842,0.50193,0.57716,0.21429,0.20541,0.0632,1.24847,6.11375,0.37482,1.03241,1.34002,0.000282778,0.000282778,0.000282778
19,9.76667,1.1626,4.1639,0.38668,0.99194,1.26808,0.62374,0.59316,0.67901,0.46962,0.58355,0.21429,0.1815,0.05333,1.32247,6.36053,0.3865,1.12904,1.38906,0.000295848,0.000295848,0.000295848
20,10.3124,1.27154,3.22785,0.37984,0.82489,1.08992,0.62374,0.59316,0.67901,0.46962,0.58355,0.21429,0.1815,0.05333,1.32247,6.36053,0.3865,1.12904,1.38906,0.000308522,0.000308522,0.000308522
21,10.7651,0.88319,2.70862,0.32055,0.63493,1.17296,0.54984,0.64286,0.64943,0.43084,0.59485,0.21061,0.16547,0.04118,1.37631,6.36312,0.39234,1.19149,1.40682,0.0003208,0.0003208,0.0003208
22,11.2012,1.08283,2.20414,0.36214,0.6734,1.35726,0.54984,0.64286,0.64943,0.43084,0.59485,0.21061,0.16547,0.04118,1.37631,6.36312,0.39234,1.19149,1.40682,0.000332682,0.000332682,0.000332682
23,11.6684,1.20568,2.18507,0.34941,0.59778,1.09713,0.63319,0.57143,0.6138,0.3834,0.30043,0.28571,0.10723,0.03835,1.46826,6.36424,0.38408,1.33353,1.46614,0.000344168,0.000344168,0.000344168
24,12.1033,0.97555,2.62126,0.35612,0.7423,1.06896,0.63319,0.57143,0.6138,0.3834,0.30043,0.28571,0.10723,0.03835,1.46826,6.36424,0.38408,1.33353,1.46614,0.000355258,0.000355258,0.000355258
25,12.5599,1.24158,2.77939,0.37345,0.72965,1.11899,0.5129,0.64286,0.53675,0.34042,0.20811,0.21429,0.06483,0.01772,1.50834,6.6685,0.42034,1.4415,1.55121,0.000365952,0.000365952,0.000365952
26,13.1243,0.93255,3.3691,0.25664,0.71609,1.11458,0.5129,0.64286,0.53675,0.34042,0.20811,0.21429,0.06483,0.01772,1.50834,6.6685,0.42034,1.4415,1.55121,0.00037625,0.00037625,0.00037625
27,13.6654,1.18823,3.50616,0.39458,0.74015,1.20484,0.49417,0.64286,0.50381,0.31583,0.26886,0.35714,0.17489,0.03531,1.58855,6.86834,0.47721,1.52679,1.62873,0.000386152,0.000386152,0.000386152
